Airport,Terminal,date,hour,US Citizen Avg,US Citizen Max,Non-Citizen Avg,Non-Citizen Max,Avg Wait Time,Max Wait Time,Total Passengers,Total Flights
JFK,Terminal 1,11/14/2023,1300 - 1400,14,63,25,64,21,64,918,4
JFK,Terminal 1,11/14/2023,1400 - 1500,33,74,51,78,44,78,806,4
JFK,Terminal 1,11/14/2023,1500 - 1600,17,45,28,47,24,47,540,3
JFK,Terminal 1,11/14/2023,1600 - 1700,8,16,10,18,9,18,175,1
JFK,Terminal 1,11/14/2023,1800 - 1900,7,15,8,15,7,15,197,1
JFK,Terminal 1,11/14/2023,1900 - 2000,15,31,18,31,16,31,594,3
JFK,Terminal 1,11/14/2023,2000 - 2100,18,49,25,49,21,49,752,3
JFK,Terminal 1,11/14/2023,2100 - 2200,19,69,49,76,32,76,1071,5
JFK,Terminal 1,11/14/2023,2200 - 2300,22,50,30,51,26,51,340,2
JFK,Terminal 1,11/14/2023,2300 - 0000,33,96,43,98,37,98,610,3
JFK,Terminal 4 (IAT),11/14/2023,0000 - 0100,6,18,7,18,6,18,352,2
JFK,Terminal 4 (IAT),11/14/2023,0100 - 0200,9,28,9,25,9,28,318,2
JFK,Terminal 4 (IAT),11/14/2023,0200 - 0300,7,14,7,15,7,15,142,1
JFK,Terminal 4 (IAT),11/14/2023,0300 - 0400,6,15,13,19,9,19,138,1
JFK,Terminal 4 (IAT),11/14/2023,0400 - 0500,26,71,30,75,27,75,870,6
JFK,Terminal 4 (IAT),11/14/2023,0500 - 0600,34,85,62,91,49,91,937,5
JFK,Terminal 4 (IAT),11/14/2023,0600 - 0700,16,70,45,94,36,94,574,2
JFK,Terminal 4 (IAT),11/14/2023,0700 - 0800,17,93,60,103,40,103,925,4
JFK,Terminal 4 (IAT),11/14/2023,0800 - 0900,12,26,35,48,20,48,191,1
JFK,Terminal 4 (IAT),11/14/2023,0900 - 1000,17,40,23,52,21,52,346,2
JFK,Terminal 4 (IAT),11/14/2023,1000 - 1100,15,31,26,54,20,54,560,3
JFK,Terminal 4 (IAT),11/14/2023,1100 - 1200,12,46,23,46,19,46,411,3
JFK,Terminal 4 (IAT),11/14/2023,1200 - 1300,22,124,63,129,36,129,1219,7
JFK,Terminal 4 (IAT),11/14/2023,1300 - 1400,37,109,89,149,59,149,1630,7
JFK,Terminal 4 (IAT),11/14/2023,1400 - 1500,31,74,76,107,61,107,154,1
JFK,Terminal 4 (IAT),11/14/2023,1500 - 1600,21,49,69,98,38,98,1185,5
JFK,Terminal 4 (IAT),11/14/2023,1600 - 1700,18,37,70,99,41,99,274,2
JFK,Terminal 4 (IAT),11/14/2023,1700 - 1800,21,82,44,83,28,83,1427,8
JFK,Terminal 4 (IAT),11/14/2023,1800 - 1900,21,50,25,55,23,55,639,4
JFK,Terminal 4 (IAT),11/14/2023,1900 - 2000,11,51,29,66,19,66,808,4
JFK,Terminal 4 (IAT),11/14/2023,2000 - 2100,8,17,37,47,20,47,85,1
JFK,Terminal 4 (IAT),11/14/2023,2100 - 2200,12,34,15,39,13,39,338,2
JFK,Terminal 4 (IAT),11/14/2023,2200 - 2300,10,37,14,38,12,38,682,5
JFK,Terminal 4 (IAT),11/14/2023,2300 - 0000,14,49,24,61,19,61,914,7
JFK,Terminal 5 (Jet Blue),11/14/2023,0500 - 0600,11,23,13,23,12,23,180,1
JFK,Terminal 5 (Jet Blue),11/14/2023,0600 - 0700,8,23,12,23,10,23,307,2
JFK,Terminal 5 (Jet Blue),11/14/2023,0700 - 0800,4,18,8,19,6,19,146,1
JFK,Terminal 5 (Jet Blue),11/14/2023,0900 - 1000,19,57,21,52,20,57,388,3
JFK,Terminal 5 (Jet Blue),11/14/2023,1000 - 1100,6,15,7,15,6,15,121,1
JFK,Terminal 5 (Jet Blue),11/14/2023,1200 - 1300,3,14,6,15,5,15,119,1
JFK,Terminal 5 (Jet Blue),11/14/2023,1300 - 1400,15,42,21,42,17,42,399,2
